Timestamp,"What aspects of Sunder Nursery do you value the most? 
(आप सुंदर नर्सरी के किन पहलुओं को सबसे अधिक महत्व देते हैं?)","Sunder Nursery is a 90-acre heritage park. Would you be willing to pay a slightly higher entry fee to guarantee the permanent protection of the park's monuments, gardens, and birds? 
(क्या आप पार्क की स्थायी सुरक्षा सुनिश्चित करने के लिए थोड़ा अधिक प्रवेश शुल्क देने को तैयार होंगे?)","What is the MAXIMUM extra amount you would be willing to pay per visit? 
(प्रति विजिट आप अधिकतम कितनी अतिरिक्त राशि देने को तैयार होंगे?)","Since you chose NOT to pay extra, what is your main reason? 
(चूँकि आपने अतिरिक्त भुगतान नहीं करने का विकल्प चुना है, तो इसका मुख्य कारण क्या है?)","How important is it to you that Sunder Nursery is preserved for future generations? 
(आपके लिए यह कितना महत्वपूर्ण है कि सुंदर नर्सरी को भावी पीढ़ियों के लिए संरक्षित किया जाए?)","Would you support the conservation of this park even if you could never visit it again? 
(क्या आप इस पार्क के संरक्षण का समर्थन करेंगे, भले ही आप यहां दोबारा कभी न आ सकें?)","How would you rate the current ecological condition of Sunder Nursery? 
(आप सुंदर नर्सरी की वर्तमान पारिस्थितिक स्थिति को कैसे आंकेंगे?)","Which neighborhood, locality, or PIN code did you travel from today? 
(आज आप किस इलाके या पिन कोड से यहाँ आए हैं?)","What was your primary mode of transport today? 
(आज आपका यातायात का मुख्य साधन क्या था?)","Is Sunder Nursery the ONLY place you traveled to visit on this trip? 
(क्या इस यात्रा में आप केवल सुंदर नर्सरी देखने आए हैं?)","What is your estimated one-way travel cost to reach here? 
(यहाँ पहुँचने का आपका अनुमानित एक तरफ़ा यात्रा खर्च क्या है?)","How much time did it take you to reach the park today (one way)? 
(आज आपको पार्क तक पहुँचने में कितना समय लगा?)","How often do you visit Sunder Nursery? 
(आप सुंदर नर्सरी कितनी बार आते हैं?)","Your age group 
(आपकी आयु वर्ग)","Your occupation & approximate monthly income 
(आपका पेशा और अनुमानित मासिक आय)"
4/10/2026 17:58:52,Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता,Yes | हाँ,₹10 extra | ₹10 अतिरिक्त,,Very important | बहुत ज़रूरी,No | नहीं,Excellent | उत्कृष्ट,110051,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",More than ₹200 | ₹200 से ज़्यादा,31–60 min | 31–60 मिनट,Rarely | शायद ही कभी,18–35,Student | विद्यार्थी
4/10/2026 18:00:04,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",Yes | हाँ,₹50 extra | ₹50 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Good | अच्छी,Rohini,Walked | पैदल,"No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹0–₹20,15–30 min | 15–30 मिनट,Weekly or more | हफ्ते में एक बार या ज़्यादा,18–35,Student | विद्यार्थी
4/10/2026 18:04:45,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण",No | नहीं,,I cannot afford to pay more | मैं और अधिक भुगतान नहीं कर सकता,Very important | बहुत ज़रूरी,Yes | हाँ,Excellent | उत्कृष्ट,110025,Walked | पैदल,"Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹21–₹50,31–60 min | 31–60 मिनट,First time | पहली बार,60+,"₹50,000–₹1,00,000"
4/10/2026 18:06:02,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Not important | ज़रूरी नहीं,Yes | हाँ,Good | अच्छी,110020,Personal Car or Bike | अपनी कार या बाइक,"Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",More than ₹200 | ₹200 से ज़्यादा,15–30 min | 15–30 मिनट,Rarely | शायद ही कभी,18–35,Student | विद्यार्थी
4/10/2026 18:11:10,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",Yes | हाँ,₹100 extra | ₹100 अतिरिक्त,,Somewhat important | कुछ हद तक ज़रूरी,Yes | हाँ,Good | अच्छी,Lajpat Nagar,Personal Car or Bike | अपनी कार या बाइक,"No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹51–₹100,31–60 min | 31–60 मिनट,Weekly or more | हफ्ते में एक बार या ज़्यादा,36–60,"₹50,000–₹1,00,000"
4/10/2026 18:12:40,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Average | औसत,Pitampura,Metro or Bus | मेट्रो या बस,"No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹51–₹100,31–60 min | 31–60 मिनट,Weekly or more | हफ्ते में एक बार या ज़्यादा,Under 18,Student | विद्यार्थी
4/10/2026 18:17:25,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण",No | नहीं,,I cannot afford to pay more | मैं और अधिक भुगतान नहीं कर सकता,Somewhat important | कुछ हद तक ज़रूरी,Yes | हाँ,Average | औसत,110060,Personal Car or Bike | अपनी कार या बाइक,"Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹101–₹200,15–30 min | 15–30 मिनट,Rarely | शायद ही कभी,60+,"Above ₹1,00,000 | ₹1,00,000 से ज़्यादा"
4/10/2026 18:20:13,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण",Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Good | अच्छी,110017,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹51–₹100,Less than 15 min | 15 मिनट से कम,Rarely | शायद ही कभी,60+,"₹50,000–₹1,00,000"
4/10/2026 18:20:31,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण",Yes | हाँ,₹50 extra | ₹50 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Excellent | उत्कृष्ट,Kalkaji,Personal Car or Bike | अपनी कार या बाइक,"No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹101–₹200,31–60 min | 31–60 मिनट,Rarely | शायद ही कभी,36–60,"₹50,000–₹1,00,000"
4/10/2026 18:23:50,Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता,Yes | हाँ,₹50 extra | ₹50 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Good | अच्छी,110003,Metro or Bus | मेट्रो या बस,"No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹21–₹50,31–60 min | 31–60 मिनट,1–3 times a month | महीने में 1-3 बार,18–35,"Above ₹1,00,000 | ₹1,00,000 से ज़्यादा"
4/10/2026 18:28:41,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण",Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Somewhat important | कुछ हद तक ज़रूरी,Yes | हाँ,Excellent | उत्कृष्ट,110013,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹101–₹200,More than 1 hour | 1 घंटे से ज़्यादा,Rarely | शायद ही कभी,18–35,Student | विद्यार्थी
4/10/2026 18:28:57,"Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण",No | नहीं,,"The government/management should pay, not visitors | सरकार/प्रबंधन को खर्च उठाना चाहिए, आगंतुकों को नहीं",Somewhat important | कुछ हद तक ज़रूरी,Yes | हाँ,Good | अच्छी,110014,Personal Car or Bike | अपनी कार या बाइक,"No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",More than ₹200 | ₹200 से ज़्यादा,More than 1 hour | 1 घंटे से ज़्यादा,First time | पहली बार,36–60,"₹50,000–₹1,00,000"
4/10/2026 18:34:16,"Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण",Yes | हाँ,₹100 extra | ₹100 अतिरिक्त,,Very important | बहुत ज़रूरी,No | नहीं,Average | औसत,110021,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹101–₹200,More than 1 hour | 1 घंटे से ज़्यादा,Rarely | शायद ही कभी,18–35,"₹50,000–₹1,00,000"
4/10/2026 18:35:43,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण",Yes | हाँ,₹50 extra | ₹50 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Average | औसत,Nizamuddin,Metro or Bus | मेट्रो या बस,"Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹21–₹50,31–60 min | 31–60 मिनट,First time | पहली बार,18–35,Student | विद्यार्थी
4/10/2026 18:38:33,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण",Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Good | अच्छी,110075,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹101–₹200,31–60 min | 31–60 मिनट,First time | पहली बार,36–60,"Above ₹1,00,000 | ₹1,00,000 से ज़्यादा"
4/10/2026 18:40:21,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण",No | नहीं,,I do not think the park is worth paying more for | मुझे नहीं लगता कि इसके लिए अधिक भुगतान करना उचित है,Very important | बहुत ज़रूरी,No | नहीं,Good | अच्छी,Safdarjung,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹51–₹100,15–30 min | 15–30 मिनट,First time | पहली बार,36–60,"Above ₹1,00,000 | ₹1,00,000 से ज़्यादा"
4/10/2026 18:40:24,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",No | नहीं,,I do not think the park is worth paying more for | मुझे नहीं लगता कि इसके लिए अधिक भुगतान करना उचित है,Somewhat important | कुछ हद तक ज़रूरी,Yes | हाँ,Good | अच्छी,110017,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹51–₹100,31–60 min | 31–60 मिनट,First time | पहली बार,60+,"₹1,00,000"
4/10/2026 18:43:02,Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता,No | नहीं,,I do not think the park is worth paying more for | मुझे नहीं लगता कि इसके लिए अधिक भुगतान करना उचित है,Somewhat important | कुछ हद तक ज़रूरी,Yes | हाँ,Excellent | उत्कृष्ट,110070,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹101–₹200,31–60 min | 31–60 मिनट,First time | पहली बार,60+,N/A
4/10/2026 18:44:13,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण",Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Not important | ज़रूरी नहीं,Yes | हाँ,Good | अच्छी,110085,Personal Car or Bike | अपनी कार या बाइक,"No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹21–₹50,Less than 15 min | 15 मिनट से कम,First time | पहली बार,18–35,Student | विद्यार्थी
4/10/2026 18:45:40,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",No | नहीं,,"The government/management should pay, not visitors | सरकार/प्रबंधन को खर्च उठाना चाहिए, आगंतुकों को नहीं",Somewhat important | कुछ हद तक ज़रूरी,Yes | हाँ,Excellent | उत्कृष्ट,110019,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹51–₹100,More than 1 hour | 1 घंटे से ज़्यादा,First time | पहली बार,18–35,"Under ₹50,000 | ₹50,000 से कम"
4/10/2026 18:50:31,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण",No | नहीं,,"The government/management should pay, not visitors | सरकार/प्रबंधन को खर्च उठाना चाहिए, आगंतुकों को नहीं",Very important | बहुत ज़रूरी,Yes | हाँ,Good | अच्छी,R.K. Puram,Personal Car or Bike | अपनी कार या बाइक,"No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹21–₹50,More than 1 hour | 1 घंटे से ज़्यादा,Rarely | शायद ही कभी,36–60,"Under ₹50,000 | ₹50,000 से कम"
4/10/2026 18:51:43,"Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Excellent | उत्कृष्ट,110021,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹51–₹100,15–30 min | 15–30 मिनट,Rarely | शायद ही कभी,36–60,"₹1,00,000"
4/10/2026 18:54:23,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण",Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Somewhat important | कुछ हद तक ज़रूरी,Yes | हाँ,Excellent | उत्कृष्ट,110024,Metro or Bus | मेट्रो या बस,"Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹51–₹100,31–60 min | 31–60 मिनट,Rarely | शायद ही कभी,36–60,"Above ₹1,00,000 | ₹1,00,000 से ज़्यादा"
4/10/2026 18:55:08,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण",Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Very important | बहुत ज़रूरी,No | नहीं,Excellent | उत्कृष्ट,110044,Personal Car or Bike | अपनी कार या बाइक,"No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹101–₹200,31–60 min | 31–60 मिनट,Rarely | शायद ही कभी,18–35,"Above ₹1,00,000 | ₹1,00,000 से ज़्यादा"
4/10/2026 18:56:57,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Quietude and escape from the city | शांति और शहर की भीड़ से दूर, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण",No | नहीं,,"The government/management should pay, not visitors | सरकार/प्रबंधन को खर्च उठाना चाहिए, आगंतुकों को नहीं",Very important | बहुत ज़रूरी,Yes | हाँ,Excellent | उत्कृष्ट,110024,Metro or Bus | मेट्रो या बस,"No, I am also visiting nearby places | नहीं, मैं आसपास के अन्य स्थान भी देख रहा हूँ",₹101–₹200,31–60 min | 31–60 मिनट,First time | पहली बार,18–35,Student | विद्यार्थी
4/10/2026 19:02:34,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",Yes | हाँ,₹10 extra | ₹10 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Excellent | उत्कृष्ट,110076,"Auto, Taxi, or Cab | ऑटो, टैक्सी या कैब","Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",More than ₹200 | ₹200 से ज़्यादा,31–60 min | 31–60 मिनट,Rarely | शायद ही कभी,18–35,Student | विद्यार्थी
4/10/2026 19:04:43,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of 16th-century monuments | 16वीं सदी के स्मारकों का संरक्षण, Availability for future generations | भावी पीढ़ियों के लिए उपलब्धता",Yes | हाँ,₹20 extra | ₹20 अतिरिक्त,,Very important | बहुत ज़रूरी,Yes | हाँ,Excellent | उत्कृष्ट,110060,Walked | पैदल,"Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹0–₹20,Less than 15 min | 15 मिनट से कम,Weekly or more | हफ्ते में एक बार या ज़्यादा,60+,"Under ₹50,000 | ₹50,000 से कम"
4/10/2026 19:07:46,"Aesthetic and scenic beauty | सौंदर्य और प्राकृतिक सुंदरता, Protection of native plants and birds | देशी पौधों और पक्षियों का संरक्षण",Yes | हाँ,₹50 extra | ₹50 अतिरिक्त,,Somewhat important | कुछ हद तक ज़रूरी,No | नहीं,Excellent | उत्कृष्ट,110003,Metro or Bus | मेट्रो या बस,"Yes, it is my only destination | हाँ, यह मेरा एकमात्र गंतव्य है",₹0–₹20,Less than 15 min | 15 मिनट से कम,1–3 times a month | महीने में 1-3 बार,60+,"₹50,000–₹1,00,000"
